Generating SQLite file C:\Users\zjkel\Desktop\CIS5650\Project2-Stream-Compaction\profiling\results/nsight_systems_efficient.sqlite from C:\Users\zjkel\Desktop\CIS5650\Project2-Stream-Compaction\profiling\results/nsight_systems_efficient.nsys-rep
Processing [C:\Users\zjkel\Desktop\CIS5650\Project2-Stream-Compaction\profiling\results/nsight_systems_efficient.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2026.1.3\target-windows-x64\reports\cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
50.0,465112,120,3875.9,1408.0,1216,17696,4419.3,"StreamCompaction::Efficient::kernDownsweep(int, int, int *)"
49.3,458487,120,3820.7,1312.0,1184,22528,4926.7,"StreamCompaction::Efficient::kernUpsweep(int, int, int *)"
0.7,6336,6,1056.0,1056.0,1056,1056,0.0,"StreamCompaction::Efficient::kernClearRoot(int, int *)"

Processing [C:\Users\zjkel\Desktop\CIS5650\Project2-Stream-Compaction\profiling\results/nsight_systems_efficient.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2026.1.3\target-windows-x64\reports\cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
88.5,116906253,6,19484375.5,185087.5,105668,116046336,47305531.5,cudaMalloc
7.1,9369901,12,780825.1,768578.0,478942,1226810,275795.8,cudaMemcpy
1.6,2054907,6,342484.5,335835.0,222346,463872,97289.4,cudaEventSynchronize
1.5,1938013,246,7878.1,3660.0,3470,518542,33750.3,cudaLaunchKernel
0.9,1197063,6,199510.5,208997.5,138368,257406,42863.1,cudaFree
0.2,269107,6,44851.2,35895.0,15830,112438,36020.9,cudaMemset
0.1,117488,1,117488.0,117488.0,117488,117488,0.0,cuLibraryLoadData
0.1,109108,1,109108.0,109108.0,109108,109108,0.0,cuLibraryUnload
0.1,76899,12,6408.3,5655.0,3160,14810,3528.8,cudaEventRecord
0.0,55078,246,223.9,150.0,140,6130,415.8,cuKernelGetName
0.0,24260,2,12130.0,12130.0,1420,22840,15146.2,cudaEventDestroy
0.0,16770,2,8385.0,8385.0,1110,15660,10288.4,cudaEventCreate
0.0,11430,1,11430.0,11430.0,11430,11430,0.0,cuModuleGetLoadingMode
0.0,4030,1,4030.0,4030.0,4030,4030,0.0,cuCtxSynchronize
0.0,1170,3,390.0,360.0,320,490,88.9,cuLibraryGetKernel
0.0,750,1,750.0,750.0,750,750,0.0,cuDeviceGetLuid

