Generating SQLite file C:\Users\zjkel\Desktop\CIS5650\Project2-Stream-Compaction\profiling\results/nsight_systems_naive.sqlite from C:\Users\zjkel\Desktop\CIS5650\Project2-Stream-Compaction\profiling\results/nsight_systems_naive.nsys-rep
Processing [C:\Users\zjkel\Desktop\CIS5650\Project2-Stream-Compaction\profiling\results/nsight_systems_naive.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2026.1.3\target-windows-x64\reports\cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.6,3186408,120,26553.4,21231.5,19168,572310,50299.6,"StreamCompaction::Naive::kernAddPrevious(int, int, int *, const int *)"
3.4,112511,6,18751.8,18783.5,16576,21088,2242.1,"StreamCompaction::Naive::kernShift(int, int *, const int *)"

Processing [C:\Users\zjkel\Desktop\CIS5650\Project2-Stream-Compaction\profiling\results/nsight_systems_naive.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2026.1.3\target-windows-x64\reports\cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
87.7,118256614,12,9854717.8,115929.0,55839,116874744,33702656.8,cudaMalloc
6.0,8097120,12,674760.0,660689.5,507882,1061003,171156.2,cudaMemcpy
3.5,4705778,6,784296.3,656940.0,486283,1489647,365647.6,cudaEventSynchronize
1.7,2336843,12,194736.9,194167.0,112638,284965,61352.4,cudaFree
0.8,1087389,126,8630.1,3615.0,3360,284095,26132.5,cudaLaunchKernel
0.1,111178,1,111178.0,111178.0,111178,111178,0.0,cuLibraryUnload
0.1,87579,12,7298.3,5155.0,3090,15270,4441.9,cudaEventRecord
0.1,80549,1,80549.0,80549.0,80549,80549,0.0,cuLibraryLoadData
0.0,28760,126,228.3,160.0,150,2730,262.0,cuKernelGetName
0.0,18580,2,9290.0,9290.0,1020,17560,11695.5,cudaEventDestroy
0.0,14549,1,14549.0,14549.0,14549,14549,0.0,cuModuleGetLoadingMode
0.0,11950,2,5975.0,5975.0,840,11110,7262.0,cudaEventCreate
0.0,5279,1,5279.0,5279.0,5279,5279,0.0,cuCtxSynchronize
0.0,1120,1,1120.0,1120.0,1120,1120,0.0,cuDeviceGetLuid
0.0,860,2,430.0,430.0,370,490,84.9,cuLibraryGetKernel

