mode,track,start_us,duration_us,name
naive,API,0.0,9.77,cudaEventRecord_v3020
naive,API,12.68,0.66,cuKernelGetName
naive,API,13.9,42.449,cudaLaunchKernel_v7000
naive,API,57.639,0.3,cuKernelGetName
naive,API,58.099,6.03,cudaLaunchKernel_v7000
naive,API,64.819,0.16,cuKernelGetName
naive,API,65.129,3.94,cudaLaunchKernel_v7000
naive,API,69.759,0.16,cuKernelGetName
naive,API,70.059,3.64,cudaLaunchKernel_v7000
naive,API,74.359,0.16,cuKernelGetName
naive,API,74.659,3.8,cudaLaunchKernel_v7000
naive,API,79.129,0.16,cuKernelGetName
naive,API,79.429,3.49,cudaLaunchKernel_v7000
naive,API,83.599,0.15,cuKernelGetName
naive,API,83.889,3.64,cudaLaunchKernel_v7000
naive,API,88.209,0.15,cuKernelGetName
naive,API,88.499,3.61,cudaLaunchKernel_v7000
naive,API,92.779,0.16,cuKernelGetName
naive,API,93.079,3.49,cudaLaunchKernel_v7000
naive,API,97.359,0.16,cuKernelGetName
naive,API,97.658,3.41,cudaLaunchKernel_v7000
naive,API,101.738,0.16,cuKernelGetName
naive,API,102.038,3.47,cudaLaunchKernel_v7000
naive,API,106.178,0.16,cuKernelGetName
naive,API,106.478,3.36,cudaLaunchKernel_v7000
naive,API,110.518,0.16,cuKernelGetName
naive,API,110.818,7.0,cudaLaunchKernel_v7000
naive,API,118.788,0.16,cuKernelGetName
naive,API,119.088,3.67,cudaLaunchKernel_v7000
naive,API,123.428,0.15,cuKernelGetName
naive,API,123.718,3.51,cudaLaunchKernel_v7000
naive,API,127.898,0.15,cuKernelGetName
naive,API,128.188,3.59,cudaLaunchKernel_v7000
naive,API,132.438,0.16,cuKernelGetName
naive,API,132.738,26.0,cudaLaunchKernel_v7000
naive,API,159.688,0.2,cuKernelGetName
naive,API,160.028,4.129,cudaLaunchKernel_v7000
naive,API,164.847,0.17,cuKernelGetName
naive,API,165.247,3.56,cudaLaunchKernel_v7000
naive,API,169.547,0.17,cuKernelGetName
naive,API,169.857,3.51,cudaLaunchKernel_v7000
naive,API,174.037,0.19,cuKernelGetName
naive,API,174.367,3.48,cudaLaunchKernel_v7000
naive,API,178.767,3.56,cudaEventRecord_v3020
naive,API,182.877,1489.647,cudaEventSynchronize_v3020
naive,GPU,438.875,20.672,kernShift
naive,GPU,460.315,21.471,kernAddPrevious
naive,GPU,482.65,20.896,kernAddPrevious
naive,GPU,504.762,21.216,kernAddPrevious
naive,GPU,526.746,21.663,kernAddPrevious
naive,GPU,549.177,21.152,kernAddPrevious
naive,GPU,571.161,21.472,kernAddPrevious
naive,GPU,593.945,21.311,kernAddPrevious
naive,GPU,616.12,21.792,kernAddPrevious
naive,GPU,638.68,21.887,kernAddPrevious
naive,GPU,661.463,21.856,kernAddPrevious
naive,GPU,684.567,572.31,kernAddPrevious
naive,GPU,1258.253,19.168,kernAddPrevious
naive,GPU,1278.285,21.664,kernAddPrevious
naive,GPU,1300.845,21.727,kernAddPrevious
naive,GPU,1323.916,21.184,kernAddPrevious
naive,GPU,1345.996,20.415,kernAddPrevious
naive,GPU,1558.92,20.288,kernAddPrevious
naive,GPU,1580.072,21.247,kernAddPrevious
naive,GPU,1602.599,29.632,kernAddPrevious
naive,GPU,1632.967,29.439,kernAddPrevious
efficient,API,0.0,5.99,cudaEventRecord_v3020
efficient,API,8.35,0.7,cuKernelGetName
efficient,API,9.47,23.87,cudaLaunchKernel_v7000
efficient,API,34.329,0.21,cuKernelGetName
efficient,API,34.749,4.34,cudaLaunchKernel_v7000
efficient,API,39.799,0.2,cuKernelGetName
efficient,API,40.229,7.67,cudaLaunchKernel_v7000
efficient,API,48.619,0.24,cuKernelGetName
efficient,API,49.009,3.83,cudaLaunchKernel_v7000
efficient,API,53.539,0.16,cuKernelGetName
efficient,API,53.839,3.58,cudaLaunchKernel_v7000
efficient,API,58.079,0.15,cuKernelGetName
efficient,API,58.369,3.65,cudaLaunchKernel_v7000
efficient,API,62.759,0.16,cuKernelGetName
efficient,API,63.059,3.49,cudaLaunchKernel_v7000
efficient,API,67.249,0.15,cuKernelGetName
efficient,API,67.539,3.68,cudaLaunchKernel_v7000
efficient,API,71.909,0.16,cuKernelGetName
efficient,API,72.209,3.61,cudaLaunchKernel_v7000
efficient,API,76.469,0.15,cuKernelGetName
efficient,API,76.829,3.54,cudaLaunchKernel_v7000
efficient,API,81.029,0.15,cuKernelGetName
efficient,API,81.319,3.54,cudaLaunchKernel_v7000
efficient,API,85.529,0.14,cuKernelGetName
efficient,API,85.809,3.5,cudaLaunchKernel_v7000
efficient,API,89.959,0.15,cuKernelGetName
efficient,API,90.249,3.54,cudaLaunchKernel_v7000
efficient,API,94.459,0.15,cuKernelGetName
efficient,API,94.739,3.559,cudaLaunchKernel_v7000
efficient,API,98.948,0.15,cuKernelGetName
efficient,API,99.238,3.56,cudaLaunchKernel_v7000
efficient,API,103.478,0.15,cuKernelGetName
efficient,API,103.768,3.54,cudaLaunchKernel_v7000
efficient,API,108.018,1.86,cuKernelGetName
efficient,API,110.118,3.59,cudaLaunchKernel_v7000
efficient,API,114.368,0.15,cuKernelGetName
efficient,API,114.798,26.18,cudaLaunchKernel_v7000
efficient,API,142.268,0.3,cuKernelGetName
efficient,API,142.718,27.009,cudaLaunchKernel_v7000
efficient,API,170.477,0.16,cuKernelGetName
efficient,API,170.777,3.9,cudaLaunchKernel_v7000
efficient,API,175.567,0.33,cuKernelGetName
efficient,API,176.047,4.29,cudaLaunchKernel_v7000
efficient,API,181.067,0.22,cuKernelGetName
efficient,API,181.427,4.57,cudaLaunchKernel_v7000
efficient,API,186.987,0.15,cuKernelGetName
efficient,API,187.277,3.62,cudaLaunchKernel_v7000
efficient,API,191.597,0.15,cuKernelGetName
efficient,API,191.887,3.58,cudaLaunchKernel_v7000
efficient,API,196.127,0.25,cuKernelGetName
efficient,API,196.517,3.57,cudaLaunchKernel_v7000
efficient,API,200.757,0.15,cuKernelGetName
efficient,API,201.407,3.57,cudaLaunchKernel_v7000
efficient,API,205.647,0.15,cuKernelGetName
efficient,API,205.937,3.56,cudaLaunchKernel_v7000
efficient,API,210.247,0.15,cuKernelGetName
efficient,API,210.547,3.54,cudaLaunchKernel_v7000
efficient,API,214.827,0.15,cuKernelGetName
efficient,API,215.117,5.58,cudaLaunchKernel_v7000
efficient,API,221.417,0.15,cuKernelGetName
efficient,API,221.707,4.729,cudaLaunchKernel_v7000
efficient,API,227.126,0.15,cuKernelGetName
efficient,API,227.426,3.59,cudaLaunchKernel_v7000
efficient,API,231.686,0.16,cuKernelGetName
efficient,API,231.986,3.56,cudaLaunchKernel_v7000
efficient,API,236.206,0.24,cuKernelGetName
efficient,API,236.586,3.5,cudaLaunchKernel_v7000
efficient,API,240.746,0.15,cuKernelGetName
efficient,API,241.036,3.57,cudaLaunchKernel_v7000
efficient,API,245.266,0.16,cuKernelGetName
efficient,API,245.566,3.54,cudaLaunchKernel_v7000
efficient,API,249.776,0.23,cuKernelGetName
efficient,API,250.146,8.6,cudaLaunchKernel_v7000
efficient,API,259.506,0.16,cuKernelGetName
efficient,API,259.806,3.8,cudaLaunchKernel_v7000
efficient,API,264.276,0.15,cuKernelGetName
efficient,API,264.566,3.58,cudaLaunchKernel_v7000
efficient,API,268.816,0.16,cuKernelGetName
efficient,API,269.116,3.53,cudaLaunchKernel_v7000
efficient,API,273.356,0.25,cuKernelGetName
efficient,API,273.746,3.52,cudaLaunchKernel_v7000
efficient,API,277.946,0.15,cuKernelGetName
efficient,API,278.246,3.57,cudaLaunchKernel_v7000
efficient,API,282.566,3.21,cudaEventRecord_v3020
efficient,API,286.066,222.346,cudaEventSynchronize_v3020
efficient,GPU,276.388,16.384,kernUpsweep
efficient,GPU,293.956,9.472,kernUpsweep
efficient,GPU,304.228,11.328,kernUpsweep
efficient,GPU,316.388,8.512,kernUpsweep
efficient,GPU,325.764,5.216,kernUpsweep
efficient,GPU,332.26,2.559,kernUpsweep
efficient,GPU,335.651,1.888,kernUpsweep
efficient,GPU,338.307,1.472,kernUpsweep
