"experiment","mode","size","block_size","keep_percent","trial","measured_steps","ms"
"block_size","naive","4194304","32","50","1","100","3.198144639"
"block_size","efficient","4194304","32","50","1","100","1.130550719"
"block_size","gpu-compact","4194304","32","50","1","100","1.646843193"
"block_size","naive","4194304","64","50","1","100","2.57079392"
"block_size","efficient","4194304","64","50","1","100","1.158424001"
"block_size","gpu-compact","4194304","64","50","1","100","1.578765119"
"block_size","naive","4194304","128","50","1","100","2.611398728"
"block_size","efficient","4194304","128","50","1","100","1.216693439"
"block_size","gpu-compact","4194304","128","50","1","100","1.586273602"
"block_size","naive","4194304","256","50","1","100","2.662500796"
"block_size","efficient","4194304","256","50","1","100","1.3935248"
"block_size","gpu-compact","4194304","256","50","1","100","1.77481568"
"block_size","naive","4194304","512","50","1","100","2.761149747"
"block_size","efficient","4194304","512","50","1","100","1.371451198"
"block_size","gpu-compact","4194304","512","50","1","100","1.807996475"
"block_size","naive","4194304","1024","50","1","100","2.806103692"
"block_size","efficient","4194304","1024","50","1","100","1.230334083"
"block_size","gpu-compact","4194304","1024","50","1","100","1.616437756"
"block_size","naive","4194304","32","50","2","100","3.304559991"
"block_size","efficient","4194304","32","50","2","100","1.129301761"
"block_size","gpu-compact","4194304","32","50","2","100","1.67868609"
"block_size","naive","4194304","64","50","2","100","2.610165744"
"block_size","efficient","4194304","64","50","2","100","1.193248003"
"block_size","gpu-compact","4194304","64","50","2","100","1.537230719"
"block_size","naive","4194304","128","50","2","100","2.623719997"
"block_size","efficient","4194304","128","50","2","100","1.191035204"
"block_size","gpu-compact","4194304","128","50","2","100","1.599096957"
"block_size","naive","4194304","256","50","2","100","2.626330242"
"block_size","efficient","4194304","256","50","2","100","1.187256004"
"block_size","gpu-compact","4194304","256","50","2","100","1.6157328"
"block_size","naive","4194304","512","50","2","100","2.761856968"
"block_size","efficient","4194304","512","50","2","100","1.262772797"
"block_size","gpu-compact","4194304","512","50","2","100","1.666850235"
"block_size","naive","4194304","1024","50","2","100","2.716116469"
"block_size","efficient","4194304","1024","50","2","100","1.283625281"
"block_size","gpu-compact","4194304","1024","50","2","100","1.6015008"
"block_size","naive","4194304","32","50","3","100","3.309025919"
"block_size","efficient","4194304","32","50","3","100","1.179133756"
"block_size","gpu-compact","4194304","32","50","3","100","1.643170564"
"block_size","naive","4194304","64","50","3","100","2.666376638"
"block_size","efficient","4194304","64","50","3","100","1.186244801"
"block_size","gpu-compact","4194304","64","50","3","100","1.68466079"
"block_size","naive","4194304","128","50","3","100","2.573469121"
"block_size","efficient","4194304","128","50","3","100","1.206413436"
"block_size","gpu-compact","4194304","128","50","3","100","1.61364"
"block_size","naive","4194304","256","50","3","100","2.604170556"
"block_size","efficient","4194304","256","50","3","100","1.200638084"
"block_size","gpu-compact","4194304","256","50","3","100","1.595890564"
"block_size","naive","4194304","512","50","3","100","2.628659196"
"block_size","efficient","4194304","512","50","3","100","1.231882561"
"block_size","gpu-compact","4194304","512","50","3","100","1.599228156"
"block_size","naive","4194304","1024","50","3","100","2.598196471"
"block_size","efficient","4194304","1024","50","3","100","1.440466878"
"block_size","gpu-compact","4194304","1024","50","3","100","1.909064965"
"array_size","cpu","256","128","50","1","100","0.000135"
"array_size","naive","256","128","50","1","100","0.01827392"
"array_size","efficient","256","32","50","1","100","0.02981888"
"array_size","thrust","256","128","50","1","100","0.06658912"
"array_size","cpu-compact","256","128","50","1","100","0.000209"
"array_size","cpu-scan-compact","256","128","50","1","100","0.000652"
"array_size","gpu-compact","256","128","50","1","100","0.11654144"
"array_size","cpu","1024","128","50","1","100","0.000583"
"array_size","naive","1024","128","50","1","100","0.02236416"
"array_size","efficient","1024","32","50","1","100","0.10210304"
"array_size","thrust","1024","128","50","1","100","0.0722368"
"array_size","cpu-compact","1024","128","50","1","100","0.001168"
"array_size","cpu-scan-compact","1024","128","50","1","100","0.003035"
"array_size","gpu-compact","1024","128","50","1","100","0.083619841"
"array_size","cpu","4096","128","50","1","100","0.001888"
"array_size","naive","4096","128","50","1","100","0.02598464"
"array_size","efficient","4096","32","50","1","100","0.08174304"
"array_size","thrust","4096","128","50","1","100","0.04665728"
"array_size","cpu-compact","4096","128","50","1","100","0.004412"
"array_size","cpu-scan-compact","4096","128","50","1","100","0.014408"
"array_size","gpu-compact","4096","128","50","1","100","0.084547521"
"array_size","cpu","16384","128","50","1","100","0.007459"
"array_size","naive","16384","128","50","1","100","0.030672"
"array_size","efficient","16384","32","50","1","100","0.083135361"
"array_size","thrust","16384","128","50","1","100","0.0607472"
"array_size","cpu-compact","16384","128","50","1","100","0.051656"
"array_size","cpu-scan-compact","16384","128","50","1","100","0.063186"
"array_size","gpu-compact","16384","128","50","1","100","0.095150082"
"array_size","cpu","65536","128","50","1","100","0.029093999"
"array_size","naive","65536","128","50","1","100","0.12759808"
"array_size","efficient","65536","32","50","1","100","0.182937281"
"array_size","thrust","65536","128","50","1","100","0.06434816"
"array_size","cpu-compact","65536","128","50","1","100","0.216162"
"array_size","cpu-scan-compact","65536","128","50","1","100","0.263548"
"array_size","gpu-compact","65536","128","50","1","100","0.187859519"
"array_size","cpu","262144","128","50","1","100","0.116270999"
"array_size","naive","262144","128","50","1","100","0.21498592"
"array_size","efficient","262144","32","50","1","100","0.196262721"
"array_size","thrust","262144","128","50","1","100","0.21604896"
"array_size","cpu-compact","262144","128","50","1","100","0.871338"
"array_size","cpu-scan-compact","262144","128","50","1","100","1.03832001"
"array_size","gpu-compact","262144","128","50","1","100","0.28376928"
"array_size","cpu","1048576","128","50","1","100","0.482516998"
"array_size","naive","1048576","128","50","1","100","0.74116704"
"array_size","efficient","1048576","32","50","1","100","0.3484064"
"array_size","thrust","1048576","128","50","1","100","0.235278719"
"array_size","cpu-compact","1048576","128","50","1","100","3.495813997"
"array_size","cpu-scan-compact","1048576","128","50","1","100","4.402517986"
"array_size","gpu-compact","1048576","128","50","1","100","0.477165118"
"array_size","cpu","4194304","128","50","1","100","2.719635003"
"array_size","naive","4194304","128","50","1","100","2.993942719"
"array_size","efficient","4194304","32","50","1","100","1.244377276"
"array_size","thrust","4194304","128","50","1","100","0.325268798"
"array_size","cpu-compact","4194304","128","50","1","100","14.077108974"
"array_size","cpu-scan-compact","4194304","128","50","1","100","20.028718014"
"array_size","gpu-compact","4194304","128","50","1","100","1.613552959"
"keep_percent","cpu-compact","1048576","128","0","1","100","0.548257003"
"keep_percent","cpu-scan-compact","1048576","128","0","1","100","1.515503006"
"keep_percent","gpu-compact","1048576","128","0","1","100","0.35810976"
"keep_percent","cpu-compact","1048576","128","25","1","100","2.245153005"
"keep_percent","cpu-scan-compact","1048576","128","25","1","100","3.726384985"
"keep_percent","gpu-compact","1048576","128","25","1","100","0.41590016"
"keep_percent","cpu-compact","1048576","128","50","1","100","3.552069993"
"keep_percent","cpu-scan-compact","1048576","128","50","1","100","4.902038012"
"keep_percent","gpu-compact","1048576","128","50","1","100","0.385463361"
"keep_percent","cpu-compact","1048576","128","75","1","100","1.955540006"
"keep_percent","cpu-scan-compact","1048576","128","75","1","100","3.164123993"
"keep_percent","gpu-compact","1048576","128","75","1","100","0.376058559"
"keep_percent","cpu-compact","1048576","128","100","1","100","0.52438"
"keep_percent","cpu-scan-compact","1048576","128","100","1","100","1.916002001"
"keep_percent","gpu-compact","1048576","128","100","1","100","0.397599999"
"padding","naive","1048575","128","50","1","100","0.648351998"
"padding","efficient","1048575","32","50","1","100","0.29870016"
"padding","thrust","1048575","128","50","1","100","0.230240959"
"padding","naive","1048576","128","50","1","100","0.661897918"
"padding","efficient","1048576","32","50","1","100","0.301831361"
"padding","thrust","1048576","128","50","1","100","0.2295616"
"padding","naive","1048577","128","50","1","100","0.704052802"
"padding","efficient","1048577","32","50","1","100","0.603392001"
"padding","thrust","1048577","128","50","1","100","0.213414079"
"array_size","cpu","256","128","50","2","100","0.00013"
"array_size","naive","256","128","50","2","100","0.01686528"
"array_size","efficient","256","32","50","2","100","0.029235201"
"array_size","thrust","256","128","50","2","100","0.05978368"
"array_size","cpu-compact","256","128","50","2","100","0.000223"
"array_size","cpu-scan-compact","256","128","50","2","100","0.000572"
"array_size","gpu-compact","256","128","50","2","100","0.102013119"
"array_size","cpu","1024","128","50","2","100","0.000464"
"array_size","naive","1024","128","50","2","100","0.02333184"
"array_size","efficient","1024","32","50","2","100","0.09056256"
"array_size","thrust","1024","128","50","2","100","0.07318464"
"array_size","cpu-compact","1024","128","50","2","100","0.000904"
"array_size","cpu-scan-compact","1024","128","50","2","100","0.003063"
"array_size","gpu-compact","1024","128","50","2","100","0.09704448"
"array_size","cpu","4096","128","50","2","100","0.001813"
"array_size","naive","4096","128","50","2","100","0.02595584"
"array_size","efficient","4096","32","50","2","100","0.089630719"
"array_size","thrust","4096","128","50","2","100","0.07010304"
"array_size","cpu-compact","4096","128","50","2","100","0.004257"
"array_size","cpu-scan-compact","4096","128","50","2","100","0.014228"
"array_size","gpu-compact","4096","128","50","2","100","0.108986241"
"array_size","cpu","16384","128","50","2","100","0.007259"
"array_size","naive","16384","128","50","2","100","0.0350352"
"array_size","efficient","16384","32","50","2","100","0.096570881"
"array_size","thrust","16384","128","50","2","100","0.080874559"
"array_size","cpu-compact","16384","128","50","2","100","0.050601"
"array_size","cpu-scan-compact","16384","128","50","2","100","0.062889"
"array_size","gpu-compact","16384","128","50","2","100","0.12594432"
"array_size","cpu","65536","128","50","2","100","0.029744"
"array_size","naive","65536","128","50","2","100","0.151792"
"array_size","efficient","65536","32","50","2","100","0.205511042"
"array_size","thrust","65536","128","50","2","100","0.06298944"
"array_size","cpu-compact","65536","128","50","2","100","0.221145"
"array_size","cpu-scan-compact","65536","128","50","2","100","0.260235998"
"array_size","gpu-compact","65536","128","50","2","100","0.221198401"
"array_size","cpu","262144","128","50","2","100","0.117080999"
"array_size","naive","262144","128","50","2","100","0.23060544"
"array_size","efficient","262144","32","50","2","100","0.23585184"
"array_size","thrust","262144","128","50","2","100","0.253912961"
"array_size","cpu-compact","262144","128","50","2","100","0.882375997"
"array_size","cpu-scan-compact","262144","128","50","2","100","1.047522003"
"array_size","gpu-compact","262144","128","50","2","100","0.30972544"
"array_size","cpu","1048576","128","50","2","100","0.502165"
"array_size","naive","1048576","128","50","2","100","0.79007776"
"array_size","efficient","1048576","32","50","2","100","0.372397763"
"array_size","thrust","1048576","128","50","2","100","0.246653121"
"array_size","cpu-compact","1048576","128","50","2","100","3.564340005"
"array_size","cpu-scan-compact","1048576","128","50","2","100","4.467751989"
"array_size","gpu-compact","1048576","128","50","2","100","0.498473923"
"array_size","cpu","4194304","128","50","2","100","3.003795998"
"array_size","naive","4194304","128","50","2","100","3.362734721"
"array_size","efficient","4194304","32","50","2","100","1.371909438"
"array_size","thrust","4194304","128","50","2","100","0.38294912"
"array_size","cpu-compact","4194304","128","50","2","100","14.567806988"
"array_size","cpu-scan-compact","4194304","128","50","2","100","19.923904877"
"array_size","gpu-compact","4194304","128","50","2","100","1.90786176"
"keep_percent","cpu-compact","1048576","128","0","2","100","0.521820999"
"keep_percent","cpu-scan-compact","1048576","128","0","2","100","1.580648013"
"keep_percent","gpu-compact","1048576","128","0","2","100","0.450393603"
"keep_percent","cpu-compact","1048576","128","25","2","100","2.231736994"
"keep_percent","cpu-scan-compact","1048576","128","25","2","100","3.526773989"
"keep_percent","gpu-compact","1048576","128","25","2","100","0.442491201"
"keep_percent","cpu-compact","1048576","128","50","2","100","3.545394998"
"keep_percent","cpu-scan-compact","1048576","128","50","2","100","4.494926963"
"keep_percent","gpu-compact","1048576","128","50","2","100","0.472735681"
"keep_percent","cpu-compact","1048576","128","75","2","100","1.988478993"
"keep_percent","cpu-scan-compact","1048576","128","75","2","100","3.396379995"
"keep_percent","gpu-compact","1048576","128","75","2","100","0.474251201"
"keep_percent","cpu-compact","1048576","128","100","2","100","0.541117"
"keep_percent","cpu-scan-compact","1048576","128","100","2","100","2.23201601"
"keep_percent","gpu-compact","1048576","128","100","2","100","0.5002176"
"padding","naive","1048575","128","50","2","100","0.757631037"
"padding","efficient","1048575","32","50","2","100","0.37706176"
"padding","thrust","1048575","128","50","2","100","0.258357439"
"padding","naive","1048576","128","50","2","100","0.792715523"
"padding","efficient","1048576","32","50","2","100","0.421880959"
"padding","thrust","1048576","128","50","2","100","0.261159359"
"padding","naive","1048577","128","50","2","100","0.759531199"
"padding","efficient","1048577","32","50","2","100","0.707916479"
"padding","thrust","1048577","128","50","2","100","0.266849279"
"array_size","cpu","256","128","50","3","100","0.000172"
"array_size","naive","256","128","50","3","100","0.01809824"
"array_size","efficient","256","32","50","3","100","0.02879488"
"array_size","thrust","256","128","50","3","100","0.06985184"
"array_size","cpu-compact","256","128","50","3","100","0.000208"
"array_size","cpu-scan-compact","256","128","50","3","100","0.001937"
"array_size","gpu-compact","256","128","50","3","100","0.084756481"
"array_size","cpu","1024","128","50","3","100","0.000569"
"array_size","naive","1024","128","50","3","100","0.02269984"
"array_size","efficient","1024","32","50","3","100","0.08626176"
"array_size","thrust","1024","128","50","3","100","0.07917728"
"array_size","cpu-compact","1024","128","50","3","100","0.000879"
"array_size","cpu-scan-compact","1024","128","50","3","100","0.003059"
"array_size","gpu-compact","1024","128","50","3","100","0.099025601"
"array_size","cpu","4096","128","50","3","100","0.001817"
"array_size","naive","4096","128","50","3","100","0.02574176"
"array_size","efficient","4096","32","50","3","100","0.10639968"
"array_size","thrust","4096","128","50","3","100","0.069151681"
"array_size","cpu-compact","4096","128","50","3","100","0.004716"
"array_size","cpu-scan-compact","4096","128","50","3","100","0.014232"
"array_size","gpu-compact","4096","128","50","3","100","0.10323328"
"array_size","cpu","16384","128","50","3","100","0.00732"
"array_size","naive","16384","128","50","3","100","0.03065472"
"array_size","efficient","16384","32","50","3","100","0.097981121"
"array_size","thrust","16384","128","50","3","100","0.06502944"
"array_size","cpu-compact","16384","128","50","3","100","0.051882"
"array_size","cpu-scan-compact","16384","128","50","3","100","0.063898"
"array_size","gpu-compact","16384","128","50","3","100","0.12659936"
"array_size","cpu","65536","128","50","3","100","0.029972"
"array_size","naive","65536","128","50","3","100","0.154064961"
"array_size","efficient","65536","32","50","3","100","0.22888576"
"array_size","thrust","65536","128","50","3","100","0.05924032"
"array_size","cpu-compact","65536","128","50","3","100","0.228118"
"array_size","cpu-scan-compact","65536","128","50","3","100","0.263860998"
"array_size","gpu-compact","65536","128","50","3","100","0.227488639"
"array_size","cpu","262144","128","50","3","100","0.118888999"
"array_size","naive","262144","128","50","3","100","0.247936959"
"array_size","efficient","262144","32","50","3","100","0.239445759"
"array_size","thrust","262144","128","50","3","100","0.23280384"
"array_size","cpu-compact","262144","128","50","3","100","0.905357997"
"array_size","cpu-scan-compact","262144","128","50","3","100","1.178300997"
"array_size","gpu-compact","262144","128","50","3","100","0.301262078"
"array_size","cpu","1048576","128","50","3","100","0.517308999"
"array_size","naive","1048576","128","50","3","100","0.791599683"
"array_size","efficient","1048576","32","50","3","100","0.366487362"
"array_size","thrust","1048576","128","50","3","100","0.289931521"
"array_size","cpu-compact","1048576","128","50","3","100","3.551471992"
"array_size","cpu-scan-compact","1048576","128","50","3","100","4.597995019"
"array_size","gpu-compact","1048576","128","50","3","100","0.466010561"
"array_size","cpu","4194304","128","50","3","100","3.05254801"
"array_size","naive","4194304","128","50","3","100","3.383805754"
"array_size","efficient","4194304","32","50","3","100","1.295872313"
"array_size","thrust","4194304","128","50","3","100","0.354457598"
"array_size","cpu-compact","4194304","128","50","3","100","14.079589996"
"array_size","cpu-scan-compact","4194304","128","50","3","100","20.189714069"
"array_size","gpu-compact","4194304","128","50","3","100","1.941684482"
"keep_percent","cpu-compact","1048576","128","0","3","100","0.542215"
"keep_percent","cpu-scan-compact","1048576","128","0","3","100","1.737591002"
"keep_percent","gpu-compact","1048576","128","0","3","100","0.44547136"
"keep_percent","cpu-compact","1048576","128","25","3","100","2.147473001"
"keep_percent","cpu-scan-compact","1048576","128","25","3","100","3.54635"
"keep_percent","gpu-compact","1048576","128","25","3","100","0.473708159"
"keep_percent","cpu-compact","1048576","128","50","3","100","3.540499997"
"keep_percent","cpu-scan-compact","1048576","128","50","3","100","4.472430973"
"keep_percent","gpu-compact","1048576","128","50","3","100","0.491951679"
"keep_percent","cpu-compact","1048576","128","75","3","100","1.984790002"
"keep_percent","cpu-scan-compact","1048576","128","75","3","100","3.297584996"
"keep_percent","gpu-compact","1048576","128","75","3","100","0.41900992"
"keep_percent","cpu-compact","1048576","128","100","3","100","0.564793"
"keep_percent","cpu-scan-compact","1048576","128","100","3","100","2.520119996"
"keep_percent","gpu-compact","1048576","128","100","3","100","0.521168"
"padding","naive","1048575","128","50","3","100","0.769982083"
"padding","efficient","1048575","32","50","3","100","0.3770912"
"padding","thrust","1048575","128","50","3","100","0.2619088"
"padding","naive","1048576","128","50","3","100","0.79930656"
"padding","efficient","1048576","32","50","3","100","0.408899842"
"padding","thrust","1048576","128","50","3","100","0.282592001"
"padding","naive","1048577","128","50","3","100","0.78251648"
"padding","efficient","1048577","32","50","3","100","0.702598079"
"padding","thrust","1048577","128","50","3","100","0.311287679"
